,xorg-server,"is the graphical server, at least until suckless runs on wayland"
,xorg-xwininfo,"allows querying information about windows"
,xorg-xinit,"starts X"
,polkit,"manages user policies"
,ttf-linux-libertine,"provides the sans and serif fonts for BARBS"
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in BARBS"
,ttf-font-awesome,"provides extended glyph support"
,ttf-dejavu,"properly displays emojis."
A,lf-git,"is the default file manager running in the shell"
,ueberzug,"enables previews in the lf file manager"
,pcmanfm,"alternative gui file manager"
,bc,"is a gnu calculator"
,xcompmgr,"is for transparency and removing screen-tearing"
,xorg-xprop,"is a tool for detecting window properties"
,arandr,"deals with multiple monitor setups nicely"
,dosfstools,"allows your computer to access dos-like filesystems"
,libnotify,"allows desktop notifications"
,dunst,"suckless system notifications"
,exfat-utils,"allows management of FAT drives"
,sxiv,"is a minimalist image viewer"
,xwallpaper,"sets the wallpaper"
,ffmpeg,"does wonders with audio and video"
,ffmpegthumbnailer,"creates video file thumbnail previews"
,gnome-keyring,"is the system keyring"
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in BARBS"
,python-qdarkstyle,"provides a dark Qt theme"
,neovim,"neo vim"
,rsync,"is a nice way to move files around"
,mpd,"is music daemon"
,mpc,"is a terminal interface for mpd"
,mpv,"is a choice video player"
,man-db,"read manual pages"
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor"
,newsboat,"is a terminal RSS client"
A,brave-bin,"is the browser we like best if we are being honest"
,noto-fonts,"is an expansive font package"
,noto-fonts-emoji,"is an emoji font"
,ntfs-3g,"allows accessing NTFS partitions"
,wireplumber,"is a nice audio system"
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs"
,pulsemixer,"is an audio controller"
,maim,"can take quick screenshots at your request"
A,abook,"is an offline addressbook usable by neomutt"
,unclutter,"hides an inactive mouse"
,unzip,"unzips zips"
,lynx,"is a terminal browser"
,xcape,"gives the special escape/super mappings of BARBS"
,xclip,"allows for copying and pasting from the command line"
,xdotool,"provides window action utilities on the command line"
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link"
,zathura,"is a pdf viewer with vim-like bindings"
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura"
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions"
,mediainfo,"shows audio and video information"
,atool,"manages and gives information about archives"
,fzf,"is a fuzzy finder tool"
,bat,"can highlight code output and display files"
,xorg-xbacklight,"enables changing screen brightness levels"
,brightnessctl,"works when xbacklight fails"
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell"
A,task-spooler,"queues commands or files for download"
A,simple-mtpfs,"enables the mounting of cell phones"
G,https://github.com/aegixlinux/dwmblocks.git,"serves as the modular status bar"
G,https://github.com/aegixlinux/dmenu.git,"runs commands and provides a UI for selection"
G,https://github.com/aegixlinux/st.git,"is a custom aegixlinux build of suckless's terminal emulator"
G,https://github.com/aegixlinux/dwm.git,"is the window manager"
A,mutt-wizard-git,"is a light-weight terminal-based email system"
,slock,"allows you to lock your computer, and quickly unlock with your password"
,socat,"is a utility which establishes two byte streams and transfers data between them"
,moreutils,"is a collection of useful unix tools"
A,python-pywal16, "matches background image colors to system colors"
